,Produto,EAN,Marca,Descrição,Preço sem desconto,Preço com desconto,% de desconto,Farmácia,Região,Cidade,Unnamed: 0
72,Creme para Pentear Seda Boom Pro Curvatura Modelador Antifrizz 350ml,7891150088368,SEDA,"A nova Geração da linha expert Seda Boom ProCurvatura, traz uma tecnologia exclusiva para definir, modelar e expressar o volume de todos os tipos de curvaturas, garantindo seu resultado duradouro por até 72 horas.  O novo Creme para Pentear Seda Boom Definição Intensa une a tecnologia ProCurvatura com ingredientes da natureza como Babosa e Óleo de Abacate, para definir sua curvatura por 72 horas e manter seus cachos hidratados e livres do frizz por mais tempo. Além disso, possui fórmula liberada, ótimo para usar também no Day After (nos dias posteriores à lavagem e finalização).  Além do Creme para Pentear Definição Intensa, a linha também conta com outros produtos como: Shampoo, Condicionador, Máscara de Tratamento e diversos outros Cremes para Pentear.",11.29,11.29,0,Drogaria Globo,Sudeste,São Paulo,
73,Hidroclorotiazida 25mg Genérico EMS 30 Comprimidos,7896004716176,HIDROCLOROTIAZIDA,"Este medicamento é destinado ao tratamento da pressão alta, quer isoladamente ou em associação com outros fármacos anti-hipertensivos (medicamentos que tratam a pressão alta).Pode ser ainda utilizado no tratamento dos inchaços associados com insuficiência cardíaca congestiva, cirrose hepática e com a terapia por corticosteróides ou estrógenos.",9.17,4.9,47,Drogaria Globo,Sudeste,São Paulo,
74,Máscara Tratamento Pantene Cachos Hidravitaminados 600Ml,7500435142212,PANTENE,"Sistema Pantene Pro-V Cachos Hidra-Vitaminados ? Memória duradoura para a estrutura do cabelo cacheado, para definição dos cachos de dia e de noite.*",44.79,44.79,0,Drogaria Globo,Sudeste,São Paulo,
75,Escova de Cabelo Ricca Shower Flex Turquesa,7897517904548,RICCA,"Escova Ricca Shower Flex Turquesa Características Escova de cabelo com base aberta e flexível e cerdas arredondadas que massageiam o couro cabeludo.  Função Ideal para desembaraçar seu cabelo no chuveiro enquanto espalha condicionador ou creme, tornando-o mais macio e hidratado.  Diferencial Base flexível permite acompanhar o formato da cabeça proporcionando uma massagem revigorante no couro cabeludo. Secar o cabelo também fica mais fácil pois a base vazada permite a passagem de ar diretamente no cabelo.",25.49,25.49,0,Drogaria Globo,Sudeste,São Paulo,
76,Máscara Capilar Amend Millenar Óleos Indianos 300g,7896852618981,AMEND,"Máscara Amend Millenar Óleos Indianos inspirados na beleza dos cabelos das mulheres indianas, desenvolvemos uma máscara que nutre profundamente os fios enquanto proporciona força e vitalidade para os cabelos fracos e quebradiços crescerem fortes e saudáveis, devido à combinação fortalecedora do Óleo de Amla, tonificante do Óleo de Canela e reparadora do Tri-Fort Complex*.",53.29,53.29,0,Drogaria Globo,Sudeste,São Paulo,
77,Ácido Acetilsalicílico 100mg Infantil Genérico EMS 30 Comprimidos,7896004710891,AC ACETISAL,"O Ácido Acetilsalicílico é a substância ativa deste medicamento, que pertence ao grupo de substâncias anti-inflamatórias não- esteroides, com propriedades anti-inflamatória, analgésica e antitérmica. O ácido acetilsalicílico inibe a formação de substâncias mensageiras da dor, as prostaglandinas, propiciando o alívio da dor.",12,11.4,5,Drogaria Globo,Sudeste,São Paulo,
78,"Ablok Plus 50MG+12,5MG 60 Comprimidos",7896112411512,ABLOK,Combate a hipertensão(Pressão Alta),90.32,73.69,18,Drogaria Globo,Sudeste,São Paulo,
79,Bepantol Derma Solução 50ml,7891106907293,BEPANTOL,"Fórmula líquida com alta concentração do ativo dexpantenol, uma Pró-Vitamina B5 que auxilia na restauração capilar, mantendo a água dos fios e devolvendo o seu brilho e maciez natural. É uma forma de ajudar a devolver a hidratação perdida dos cabelos após o uso de química, calor, poluição e fatores climáticos, condições que contribuem para deixar os cabelos com aspecto ressecado.",29.99,29.99,0,Drogaria Globo,Sudeste,São Paulo,
80,Pente de Madeira Marco Boni Wood Line Premium Dentes Largos,7896025521377,MARCO BONI,"Pente ideal para cabelos crespos e enrolados. Com dentes largos desembaraça sem deixar volumoso e não agride os fios.  Fabricado em madeira, com excelente acabamento, não lasca nem puxa os fios. Por ser em madeira evita o frizz.",18.29,18.29,0,Drogaria Globo,Sudeste,São Paulo,
81,Refil Shampoo Vichy Dercos Oil-Correction 200g,7899706254472,VICHY,,58.39,58.39,0,Drogaria Globo,Sudeste,São Paulo,
82,"Cardilol 6,25mg 30 Comprimidos",7896094202764,CARDILOL,"Cardilol é um medicamento usado para tratar insuficiência cardíaca congestiva (insuficiência do coração), angina do peito (dor no peito de origem cardíaca) e hipertensão arterial (pressão alta).",45.57,37.19,18,Drogaria Globo,Sudeste,São Paulo,
83,Escova de Cabelo Marco Boni Profissional Diamond 33mm,7896025534650,MARCO BONI,"Escova profissional diamond 33mm marco boni Contém: 01un escova profissional diamond 33mm  - corpo vazado, proporcionando mais agilidade; - corpo em alumímio, absorve e propaga o calor",72.59,72.59,0,Drogaria Globo,Sudeste,São Paulo,
84,Condicionador Dove Ritual de Reparação 200ml,7891150050129,DOVE,"Possui formulação cremosa, que nutre profundamente e dá maciez aos cabelos, ajudando a restaurar a beleza e fortalecer o cabelo danificado.",15.59,15.59,0,Drogaria Globo,Sudeste,São Paulo,
85,Shampoo Dove Regeneração Extrema 400Ml,7891150043220,DOVE,"O Shampoo Dove Recuperação Extrema é perfeito para quem procura um tratamento completo. O produto conta com o poder do exclusivo Aha protein complex, que repara os danos do cabelo e fortalece a estrutura do fio contra danos futuros.",22.19,22.19,0,Drogaria Globo,Sudeste,São Paulo,
86,"Atelop 2,5mg com 30comprimidos",7896004777597,ATELOP,Este medicamento é indicado no tratamento da hipertensão arterial (pressão alta).,49.34,41.79,15,Drogaria Globo,Sudeste,São Paulo,
87,Condicionador Siàge Hidratação Micelar 200ml,7891033302024,SIAGE,"Siàge Condicionador Hidratação Micelar 200ml    O Condicionador Siàge Hidratação Micelar desembaraça imediatamente os fios, proporcionando madeixas macias e soltas por mais tempo. Ele sela as cutículas capilares, retendo a umidade natural dos cabelos, mantendo a hidratação e permitindo um balanço incrível.    O sistema micelar inteligente detecta o nível de ressecamento dos cabelos, reequilibrando a estrutura e devolvendo brilho e maciez no primeiro uso. Além disso, ele protege dos agressores diários, como sol, chuva, vento, entre outros, evitando danos futuros. Tudo isso sem pesar e deixando os fios incrivelmente sedosos.",42.19,42.19,0,Drogaria Globo,Sudeste,São Paulo,
88,Escova De Cabelo Belliz Flex Raquete Cassis,7897517904845,RICCA,"Escova Belliz Flex Raquete Cassis Características Escova de cabelo com cerdas flexíveis de dupla altura. Desembaraça os fios secos ou molhados com maior facilidade, desfazendo os nós e diminuindo a quebra dos fios.  Função Desembaraça os fios mais facilmente sem puxá-los minimizando a quebra.  Diferencial Perfeita para uso diário em todos os tipos de cabelo.",27.99,27.99,0,Drogaria Globo,Sudeste,São Paulo,
89,Kit Dove Ritual de Reparação Shampoo 400ml + Condicionador 200ml,7891150053595,DOVE,"Inspirado nos rituais de beleza de mulheres indianas, a linha Dove Ritual de Reparação é surpreendente! Enriquecido com óleo de coco e cúrcuma, o cabelo é indicado para pessoas que possuem os fios secos, danificados e enfraquecidos. O produto traz de volta a vitalidade e a saúde para os seus fios, além de deixá-los com aspecto natural. A formulação é cremosa, conseguindo nutrir e conferir maciez.",28.39,28.39,0,Drogaria Globo,Sudeste,São Paulo,
90,Shampoo Aussie Moist 360Ml,7500435130721,AUSSIE,"Cabelo seco à espera de um milagre? Sorte a sua que este shampoo tem tudo para resolver o que você precisa. Nossa fórmula com extrato de Óleo de Jojoba, Aloe Vera e Alga Marinha australiana traz uma infusão de hidratação milagrosa para deixar os cabelos limpos e macios.",51.39,51.39,0,Drogaria Globo,Sudeste,São Paulo,
91,Acetonida Triancinolona 1mg/g Genérico Eurofarma Pomada 10g,7891317465643,EUROFARMA - GEN?RICO,A triancinolona acetonida é um corticosteroide sintético que possui ação anti-inflamatória atuando no alívio temporário de sintomas associados com lesões inflamatórias orais e lesões ulcerativas resultantes de trauma.,16.17,9.92,39,Drogaria Globo,Sudeste,São Paulo,
92,Condicionador Seda Juntinhos Tiana Crespos 300ml,7891150083622,SEDA,"O Condicionador Seda Juntinhos Crespos Encantados é feito com ingredientes que hidratam, ajudam no desembaraço e dão brilho aos cachinhos,  além de deixá-los com um cheirinho delicioso!",12.69,12.69,0,Drogaria Globo,Sudeste,São Paulo,
93,Máscara 1 Minuto Dove Ritual de Crescimento 500g,7891150080768,DOVE,"A máscara capilar de tratamento Dove Ritual de Crescimento foi inspirada em rituais de beleza da América do Norte para tratar profundamente os cabelos fracos e quebradiços em apenas 1 minuto. Com a nutrição avançada de Dove combinada com equinácea e óleo de rícino, a nova máscara de tratamento de Dove Ritual de Crescimento ajuda na restauração e crescimento saudável dos cabelos.",21.49,21.49,0,Drogaria Globo,Sudeste,São Paulo,
94,Besilato de Anlodipino 5mg Genérico Medley 30 Comprimidos,7896422505789,ANLODIPINO,"O Besilato de Anlodipino é indicado como medicamento de primeira escolha no tratamento da hipertensão (pressão alta) e angina de peito (dor no peito, por doença do coração) devido à isquemia miocárdica (falta de sangue no coração). O besilato de anlodipino pode ser usado isoladamente ou em combinação com outros medicamentos para tratar as mesmas indicações acima.",23.83,5.54,77,Drogaria Globo,Sudeste,São Paulo,
95,Nimesulida Genérico Cimed 12 Comprimidos 100Mg,7896523212685,NIMESULIDA,"Este medicamento é destinado ao tratamento de uma variedade de condições que requeiram atividade antiinflamatória (contra a inflamação), analgésica (contra a dor) e antipirética (contra a febre).",23.25,6.75,71,Drogaria Globo,Sudeste,São Paulo,
96,Kit Shampoo Pantene Equilibrio Raiz e Pontas 300ml+Condicionador 150ml,7500435215565,PANTENE,"Pantene Pro-V Miracles Equilíbrio é um shampoo para cabelos mistos, com raiz oleosa e pontas ressecadas ou espigadas. Feito com óleo de baobá e algas marinhas, ele traz uma fórmula com ingredientes hidratantes e purificantes, além de ser seguro para cabelos com luzes, pois limpa suavemente, equilibrando a oleosidade da raiz.",40.39,40.39,0,Drogaria Globo,Sudeste,São Paulo,
97,Cetoprofeno 150mg Genérico Medley 10 Comprimidos,7891058002961,CETOPROFENO,"O cetoprofeno é um medicamento anti-inflamatório, analgésico e antitérmico, sendo indicado para o tratamento de inflamações e dores decorrentes de processos reumáticos (doenças que podem afetar músculos, articulações e esqueleto), traumatismos (lesão interna ou externa resultante de um agente externo) e de dores em geral.",40.09,13.9,65,Drogaria Globo,Sudeste,São Paulo,
98,Máscara Capilar Siage Instance Frutas Vermelhas 200g,7891033914661,SIAGE,"Com ação rápida ultra fortalecedora, a Máscara Capilar Instance Cabelos Frutas Vermelhas e Ceramidas é perfeita para manutenção e nutrição dos fios.",33.99,33.99,0,Drogaria Globo,Sudeste,São Paulo,
99,Naproxeno Sódico 550mg Genérico Neo Quimica 10 Comprimidos,7896714214405,NAPROXENO,"Indicado para dores agudas, causadas por inflamação.",26.19,22.14,15,Drogaria Globo,Sudeste,São Paulo,
100,Condicionador Niely Gold Queratina Reparação 200ml,7896000711175,NIELY GOLD,"Condicionador Niely Gold Queratina Reparação foi desenvolvido para fortalecer e reparar seus cabelos. Além de repor a queratina perdida nos processos físicos, químicos ou naturais, restaurando a fibra capilar e proporcionando maior resistência as fio.",9.99,9.99,0,Drogaria Globo,Sudeste,São Paulo,
101,Condicionador Dove Reconstrução Completa Cabelos Danificados 200ml,7891150008816,DOVE,"A linha Dove Reconstrução Completa feita com ativos de reparação Nutri-Queratina, ajuda seus cabelos a se recuperarem de danos de duas maneiras. Nutre e repara a aparência de cabelos danificados. Restauração visível e nutrição completa dos cabelos a cada lavagem.",15.59,15.59,0,Drogaria Globo,Sudeste,São Paulo,
102,Shampoo Dove Nutrição Óleo-Micelar 200ml,7891150055186,DOVE,"O Shampoo Dove Nutrição Óleo-Micelar foi especialmente desenvolvido com poder nutritivo dos óleos e na suavidade da água micelar, uma combinação perfeita de nutrição e leveza, proporcionando um cabelo macio e com muito mais brilho. Limpa suavemente e nutre protegendo e fortalecendo a fibra capilar, sem deixar o cabelo pesado.",13.79,13.79,0,Drogaria Globo,Sudeste,São Paulo,
103,Shampoo Clear Women Flor Cerejeira 200ml,7891150055704,CLEAR,"O Shampoo Clear Anticaspa Flor De Cerejeira possui tecnologia Bio-Booster, que ajuda a ativar as defesas naturais do couro cabeludo e acaba com a caspa que insiste em voltar. Contém aroma de flor de cerejeira (muito utilizado em perfumes femininos) que possui uma duração de até 24 horas.",20.29,20.29,0,Drogaria Globo,Sudeste,São Paulo,
104,Atlansil 200mg 20 Comprimidos,7897595900654,ATLANSIL,"Indicado para casos: distúrbios graves do ritmo cardíaco,inclusive aqueles resistentes a outras terapêuticas; taquicardia ventricular sintomática ; taquicardia supraventricular sintomática; alterações do ritmo cardíaco associadas à síndrome de Wolff-Parkinson-White (uma forma de arritmia, que é uma alteração na frequência ou no ritmo dos batimentos cardíacos).",45.61,38.14,16,Drogaria Globo,Sudeste,São Paulo,
105,Shampoo Anticaspa Profuse Zetar 200ml,7896658030437,PROFUSE,"É indicado para ajudar a tratar a caspa persistente. Profuse Zetar contém Climbazol (antifúngico que combate a caspa), Ácido Salicílico e Niacinamida, que possuem ação hidratante e anti-inflamatórias, além de auxiliarem no controle da oleosidade. Consulte o dermatologista para o tratamento adequado das caspas.",83.19,83.19,0,Drogaria Globo,Sudeste,São Paulo,
106,Atorvastatina Cálcica 20mg Genérico Medley 30 Comprimidos,7896422520966,ATORVASTATINA,Indicada para hipercolesterolemia (aumento da quantidade de colesterol no sangue) isolada; hipercolesterolemia associada à hipertrigliceridemia (aumento dos níveis sanguíneos de outro tipo de gordura); hipercolesterolemia associada à redução dos níveis sanguíneos de HDL (tipo de colesterol); hipercolesterolemia associada à hipertrigliceridemia e associado a redução dos níveis sanguíneos de HDL.,72.09,20.65,71,Drogaria Globo,Sudeste,São Paulo,
107,Bala Halls Sabor Cereja 28G,0000078938793,HALLS,"Sinta todo o sabor e a refrescância de um Halls! Ideal para todas as horas, cabe no bolso, na bolsa e na mochila. Halls é uma deliciosa bala com sabor cereja que deixa seu hálito puro e refrescante.",1.99,1.99,0,Drogaria Globo,Sudeste,São Paulo,
108,Carvedilol 25mg Genérico Medley 30 Comprimidos,7896422519403,CARVEDILOL,"Carvedilol é indicado para tratamento de hipertensão arterial, isoladamente ou em associação a outros agentes anti-hipertensivos, especialmente diuréticos tiazídicos.",77.29,21.32,72,Drogaria Globo,Sudeste,São Paulo,
109,Condicionador Pantene Raparação Intensa 400ml,7501007413105,PANTENE,"Pantene nutre o cabelo desde a raiz até as pontas. Os cabelos danificados tendem a ficar desidratados, quebradiços e sem brilho. As fórmulas Pro-vitaminas do sistema Pantene Hidratação hidratam cada fio, de forma a prevenir cabelos rebeldes e conferir um brilho luminoso às madeixas. Aproveite a hidratação intensa com a fórmula desta coleção que inclui óleo de coco, glicerina e Pro-vitaminas.",30.49,30.49,0,Drogaria Globo,Sudeste,São Paulo,
110,Kit Shampoo Niely Gold 300Ml + Condicionador Cachos 200Ml,7896000724595,NIELY GOLD,A linha Niely Gold Cachos é indicado para o cuidado frequente dos cabelos cacheados e crespos. Limpa deixando os fios macios e hidratados.,18.99,18.99,0,Drogaria Globo,Sudeste,São Paulo,
111,Atenolol 25mg Genérico Medley 30 Comprimidos,7896422506342,ATENOLOL,"O atenolol é indicado para o controle da hipertensão arterial (pressão alta), controle da angina pectoris (dor no peito ao esforço), controle de arritmias cardíacas, infarto do miocárdio e tratamento precoce e tardio após infarto do miocárdio.",6.7,1.64,76,Drogaria Globo,Sudeste,São Paulo,
